ID	DateTime	User	PC	Activity
SESSION-PASSWORD-MEDIUM-1813	29-04-2010 17:30	DTAA/BCF7710	PC-4096	Password Changed
SESSION-SUSPICIOUS-MEDIUM-6188	11-04-2010 14:47	DTAA/ZLP4084	PC-5221	Suspicious Login from Foreign IP
SESSION-FILE-LOW-6026	20-04-2010 09:54	DTAA/ROB6344	PC-4096	File Opened
SESSION-LOGIN-LOW-8444	26-04-2010 14:48	DTAA/PYC2207	PC-9200	Login Successful
SESSION-LOGOUT-LOW-5773	23-04-2010 00:40	DTAA/YYF1218	PC-5543	Logout
SESSION-FILE-LOW-7352	27-04-2010 15:25	DTAA/LKF4396	PC-2088	File Opened
SESSION-PASSWORD-MEDIUM-9307	04-04-2010 17:23	DTAA/MYK1298	PC-9090	Password Changed
SESSION-FILE-LOW-8919	26-04-2010 13:53	DTAA/LEL4307	PC-9577	File Opened
SESSION-FILE-LOW-9100	25-04-2010 09:04	DTAA/IEN9832	PC-7353	File Opened
SESSION-LOGOUT-LOW-2917	08-04-2010 22:44	DTAA/ROB6344	PC-2121	Logout
SESSION-FILE-LOW-1588	07-04-2010 02:50	DTAA/UAZ9086	PC-7557	File Opened
SESSION-EMAIL-LOW-5328	29-04-2010 15:50	DTAA/BHZ1136	PC-8074	Email Sent
SESSION-EMAIL-LOW-1863	28-04-2010 07:57	DTAA/BHZ1136	PC-2770	Email Sent
SESSION-LOGIN-LOW-6651	22-04-2010 20:26	DTAA/OMQ6976	PC-7537	Login Successful
SESSION-EMAIL-LOW-6307	02-04-2010 06:04	DTAA/RXQ5807	PC-7026	Email Sent
SESSION-LOGOUT-LOW-8098	21-04-2010 02:43	DTAA/PYC2207	PC-9496	Logout
SESSION-MALWARE-HIGH-3184	27-04-2010 07:25	DTAA/DGX1939	PC-4450	Malware Execution Attempt
SESSION-LOGOUT-LOW-1635	01-04-2010 23:36	DTAA/MZY8397	PC-4481	Logout
SESSION-LOGOUT-LOW-1668	03-04-2010 09:31	DTAA/PYC2207	PC-6706	Logout
SESSION-LOGIN-LOW-1344	02-04-2010 22:56	DTAA/MZY8397	PC-6870	Login Successful
SESSION-LOGIN-LOW-7932	30-04-2010 03:46	DTAA/XTE1549	PC-2121	Login Successful
SESSION-PASSWORD-MEDIUM-7395	18-04-2010 11:15	DTAA/AUS9343	PC-7741	Password Changed
SESSION-LOGOUT-LOW-6490	07-04-2010 01:40	DTAA/BHZ1136	PC-4900	Logout
SESSION-FILE-LOW-4955	01-04-2010 21:27	DTAA/MZY8397	PC-7557	File Opened
SESSION-FILE-LOW-2542	12-04-2010 05:04	DTAA/OGL4599	PC-3090	File Opened
SESSION-PASSWORD-MEDIUM-4623	08-04-2010 00:57	DTAA/ZLP4084	PC-5430	Password Changed
SESSION-EMAIL-LOW-7632	10-04-2010 07:34	DTAA/YMI9044	PC-2088	Email Sent
SESSION-LOGIN-LOW-2236	28-04-2010 16:44	DTAA/RKF2943	PC-6870	Login Successful
SESSION-FILE-LOW-7175	30-04-2010 01:31	DTAA/HEL9963	PC-5860	File Opened
SESSION-EMAIL-LOW-2834	23-04-2010 17:34	DTAA/SPF8256	PC-9556	Email Sent
SESSION-LOGIN-LOW-2565	20-04-2010 05:58	DTAA/AUS9343	PC-7557	Login Successful
SESSION-FILE-LOW-5466	09-04-2010 11:37	DTAA/VSC6934	PC-5430	File Opened
SESSION-LOGIN-LOW-9548	08-04-2010 06:06	DTAA/YYF1218	PC-9496	Login Successful
SESSION-FILE-LOW-9221	27-04-2010 02:41	DTAA/UAZ9086	PC-9496	File Opened
SESSION-FILE-LOW-9751	22-04-2010 20:09	DTAA/ZLP4084	PC-3025	File Opened
SESSION-EMAIL-LOW-6723	05-04-2010 23:04	DTAA/PEV5758	PC-5164	Email Sent
SESSION-LOGIN-LOW-2297	27-04-2010 09:41	DTAA/JRU9262	PC-7537	Login Successful
SESSION-EMAIL-LOW-2271	27-04-2010 11:06	DTAA/YMI9044	PC-2459	Email Sent
SESSION-LOGIN-LOW-4847	01-05-2010 01:45	DTAA/RET4173	PC-7741	Login Successful
SESSION-LOGIN-LOW-8898	27-04-2010 05:11	DTAA/YVH7263	PC-1726	Login Successful
SESSION-LOGOUT-LOW-9566	16-04-2010 23:34	DTAA/RKF2943	PC-6335	Logout
SESSION-SUSPICIOUS-MEDIUM-2789	04-04-2010 02:52	DTAA/ZLP4084	PC-9556	Suspicious Login from Foreign IP
SESSION-PASSWORD-MEDIUM-7671	08-04-2010 03:54	DTAA/VSC6934	PC-5164	Password Changed
SESSION-PASSWORD-MEDIUM-8181	09-04-2010 06:15	DTAA/OGL4599	PC-4096	Password Changed
SESSION-FILE-LOW-9861	25-04-2010 09:03	DTAA/EHR5221	PC-4481	File Opened
SESSION-PASSWORD-MEDIUM-6970	30-04-2010 02:25	DTAA/YMI9044	PC-9556	Password Changed
SESSION-EMAIL-LOW-7257	30-04-2010 18:59	DTAA/IUR1741	PC-3025	Email Sent
SESSION-LOGIN-LOW-5907	29-04-2010 10:26	DTAA/MDT8312	PC-2121	Login Successful
SESSION-LOGOUT-LOW-8599	28-04-2010 20:46	DTAA/FLJ2242	PC-7537	Logout
SESSION-LOGIN-LOW-6188	23-04-2010 20:09	DTAA/BCF7710	PC-6706	Login Successful
SESSION-LOGIN-LOW-5865	28-04-2010 02:53	DTAA/NYI5084	PC-2770	Login Successful
SESSION-EMAIL-LOW-5351	06-04-2010 04:12	DTAA/RKF2943	PC-6406	Email Sent
SESSION-LOGOUT-LOW-6019	24-04-2010 07:18	DTAA/OGZ7278	PC-8301	Logout
SESSION-LOGOUT-LOW-3975	12-04-2010 14:14	DTAA/VLN8678	PC-9556	Logout
SESSION-EMAIL-LOW-9974	04-04-2010 02:11	DTAA/WLN8711	PC-3025	Email Sent
SESSION-LOGOUT-LOW-7168	19-04-2010 15:17	DTAA/VSC6934	PC-4900	Logout
SESSION-EMAIL-LOW-8506	07-04-2010 09:30	DTAA/YYF1218	PC-3914	Email Sent
SESSION-LOGOUT-LOW-8846	21-04-2010 09:01	DTAA/ROB6344	PC-9090	Logout
SESSION-FILE-LOW-4796	16-04-2010 02:09	DTAA/IUR1741	PC-4240	File Opened
SESSION-LOGIN-LOW-6361	16-04-2010 04:11	DTAA/RKF2943	PC-5543	Login Successful
SESSION-PASSWORD-MEDIUM-5316	07-04-2010 06:52	DTAA/IUR1741	PC-8074	Password Changed
SESSION-LOGOUT-LOW-9467	24-04-2010 15:35	DTAA/OMQ6976	PC-4900	Logout
SESSION-PASSWORD-MEDIUM-7835	01-04-2010 19:05	DTAA/VSC6934	PC-4096	Password Changed
SESSION-LOGOUT-LOW-9908	12-04-2010 04:32	DTAA/RKF2943	PC-9493	Logout
SESSION-PASSWORD-MEDIUM-5580	10-04-2010 07:33	DTAA/HEL9963	PC-6406	Password Changed
SESSION-FILE-LOW-6765	17-04-2010 02:19	DTAA/LKF4396	PC-4240	File Opened
SESSION-PASSWORD-MEDIUM-9539	14-04-2010 05:42	DTAA/JRU9262	PC-4240	Password Changed
SESSION-LOGOUT-LOW-6228	05-04-2010 00:04	DTAA/NYI5084	PC-8295	Logout
SESSION-EMAIL-LOW-6834	07-04-2010 22:54	DTAA/MVV7994	PC-1726	Email Sent
SESSION-FILE-LOW-3769	14-04-2010 08:46	DTAA/UAZ9086	PC-5363	File Opened
SESSION-PASSWORD-MEDIUM-6952	18-04-2010 09:48	DTAA/ROB6344	PC-5363	Password Changed
SESSION-PASSWORD-MEDIUM-5558	14-04-2010 16:49	DTAA/XYD5525	PC-8074	Password Changed
SESSION-EMAIL-LOW-6366	02-04-2010 02:27	DTAA/MZY8397	PC-8295	Email Sent
SESSION-LOGIN-LOW-2831	30-04-2010 19:54	DTAA/IEN9832	PC-7537	Login Successful
SESSION-LOGOUT-LOW-5522	07-04-2010 20:25	DTAA/DNA1335	PC-3025	Logout
SESSION-LOGIN-LOW-3315	07-04-2010 01:52	DTAA/BRH4303	PC-7026	Login Successful
SESSION-LOGOUT-LOW-2910	01-04-2010 08:51	DTAA/DGX1939	PC-5363	Logout
SESSION-PASSWORD-MEDIUM-2767	18-04-2010 11:15	DTAA/DNA1335	PC-4240	Password Changed
SESSION-LOGOUT-LOW-2311	18-04-2010 23:16	DTAA/IEN9832	PC-7557	Logout
SESSION-FILE-LOW-1681	23-04-2010 13:34	DTAA/BCF7710	PC-9577	File Opened
SESSION-EMAIL-LOW-8296	26-04-2010 19:07	DTAA/OGZ7278	PC-4450	Email Sent
SESSION-LOGOUT-LOW-5374	14-04-2010 14:27	DTAA/MZY8397	PC-2770	Logout
SESSION-PASSWORD-MEDIUM-9742	09-04-2010 01:21	DTAA/WZX7758	PC-2088	Password Changed
SESSION-LOGOUT-LOW-2720	30-04-2010 12:44	DTAA/WZX7758	PC-5860	Logout
SESSION-PASSWORD-MEDIUM-6915	12-04-2010 20:54	DTAA/NYI5084	PC-6246	Password Changed
SESSION-EMAIL-LOW-9657	05-04-2010 17:59	DTAA/BHZ1136	PC-7537	Email Sent
SESSION-EMAIL-LOW-2830	07-04-2010 00:10	DTAA/MVV7994	PC-9303	Email Sent
SESSION-LOGIN-LOW-1466	17-04-2010 22:15	DTAA/ELP5990	PC-4481	Login Successful
SESSION-LOGIN-LOW-7202	02-04-2010 22:36	DTAA/FLJ2242	PC-5860	Login Successful
SESSION-FILE-LOW-6976	22-04-2010 21:36	DTAA/WLN8711	PC-5543	File Opened
SESSION-LOGIN-LOW-9382	25-04-2010 17:27	DTAA/MZY8397	PC-4450	Login Successful
SESSION-PASSWORD-MEDIUM-1039	13-04-2010 08:34	DTAA/AUS9343	PC-3090	Password Changed
SESSION-FILE-LOW-6477	06-04-2010 15:45	DTAA/ZLP4084	PC-5430	File Opened
SESSION-LOGIN-LOW-9072	20-04-2010 04:56	DTAA/PUV1595	PC-7353	Login Successful
SESSION-LOGIN-LOW-4893	25-04-2010 17:51	DTAA/WLN8711	PC-9577	Login Successful
SESSION-LOGOUT-LOW-2075	04-04-2010 06:26	DTAA/MDC5734	PC-7353	Logout
SESSION-EMAIL-LOW-7210	29-04-2010 08:23	DTAA/VBU5686	PC-5543	Email Sent
SESSION-MULTIPLE-MEDIUM-4310	22-04-2010 07:07	DTAA/MYK1298	PC-7638	Multiple Failed Login Attempts
SESSION-PASSWORD-MEDIUM-2220	30-04-2010 23:04	DTAA/YYF1218	PC-8295	Password Changed
SESSION-LOGIN-LOW-3151	13-04-2010 21:30	DTAA/NYI5084	PC-4096	Login Successful
SESSION-EMAIL-LOW-3855	14-04-2010 02:01	DTAA/MZY8397	PC-3025	Email Sent
SESSION-LOGOUT-LOW-8074	16-04-2010 17:15	DTAA/PYC2207	PC-7537	Logout
SESSION-LOGIN-LOW-8359	18-04-2010 16:16	DTAA/JRU9262	PC-2770	Login Successful
SESSION-LOGOUT-LOW-1457	11-04-2010 02:38	DTAA/IUR1741	PC-9496	Logout
SESSION-LOGIN-LOW-7443	08-04-2010 05:28	DTAA/BHZ1136	PC-7741	Login Successful
SESSION-EMAIL-LOW-5659	05-04-2010 05:36	DTAA/RKF2943	PC-8301	Email Sent
SESSION-FILE-LOW-6787	30-04-2010 04:44	DTAA/DGX1939	PC-3944	File Opened
SESSION-LOGIN-LOW-4698	02-04-2010 21:37	DTAA/PUV1595	PC-2630	Login Successful
SESSION-LOGOUT-LOW-1338	11-04-2010 06:55	DTAA/XYD5525	PC-1312	Logout
SESSION-EMAIL-LOW-4571	27-04-2010 19:49	DTAA/PJF3517	PC-6870	Email Sent
SESSION-LOGOUT-LOW-8500	15-04-2010 16:27	DTAA/XYD5525	PC-7459	Logout
SESSION-PASSWORD-MEDIUM-2461	28-04-2010 14:42	DTAA/MZY8397	PC-4240	Password Changed
SESSION-PASSWORD-MEDIUM-5381	04-04-2010 22:17	DTAA/YYF1218	PC-3090	Password Changed
SESSION-EMAIL-LOW-5682	03-04-2010 09:38	DTAA/JRU9262	PC-1726	Email Sent
SESSION-FILE-LOW-7792	26-04-2010 06:13	DTAA/PYC2207	PC-1312	File Opened
SESSION-FILE-LOW-3749	24-04-2010 18:50	DTAA/MCU7598	PC-2630	File Opened
SESSION-PRIVILEGE-HIGH-4285	14-04-2010 01:11	DTAA/RET4173	PC-7537	Privilege Escalation Detected
SESSION-PASSWORD-MEDIUM-3180	24-04-2010 09:54	DTAA/YYF1218	PC-2459	Password Changed
SESSION-LOGOUT-LOW-5405	03-04-2010 20:24	DTAA/UAZ9086	PC-7557	Logout
SESSION-EMAIL-LOW-6691	13-04-2010 17:52	DTAA/MZY8397	PC-9493	Email Sent
SESSION-LOGOUT-LOW-3955	13-04-2010 15:24	DTAA/MCU7598	PC-5221	Logout
SESSION-FILE-LOW-2670	26-04-2010 19:39	DTAA/DGX1939	PC-3914	File Opened
SESSION-PASSWORD-MEDIUM-5785	17-04-2010 23:55	DTAA/PEV5758	PC-3802	Password Changed
SESSION-FILE-LOW-7823	12-04-2010 04:05	DTAA/LEL4307	PC-1781	File Opened
SESSION-FILE-LOW-8251	30-04-2010 10:04	DTAA/FLJ2242	PC-1726	File Opened
SESSION-FILE-LOW-8156	15-04-2010 17:23	DTAA/VBU5686	PC-9556	File Opened
SESSION-EMAIL-LOW-1580	01-04-2010 23:39	DTAA/MCU7598	PC-4096	Email Sent
SESSION-LOGIN-LOW-3844	13-04-2010 07:56	DTAA/RXQ5807	PC-5221	Login Successful
SESSION-FILE-LOW-2610	25-04-2010 22:24	DTAA/BCF7710	PC-1726	File Opened
SESSION-PASSWORD-MEDIUM-4372	07-04-2010 15:14	DTAA/MCU7598	PC-3944	Password Changed
SESSION-PASSWORD-MEDIUM-4675	23-04-2010 06:11	DTAA/MDT8312	PC-7741	Password Changed
SESSION-FILE-LOW-1331	25-04-2010 11:22	DTAA/AUS9343	PC-4240	File Opened
